iter	Logloss
0	0.5320590599
1	0.420294453
2	0.3339521623
3	0.2815868574
4	0.2418350217
5	0.2113043526
6	0.189563881
7	0.1710068535
8	0.1563701901
9	0.1456091427
10	0.1401558145
11	0.1304323913
12	0.1259027705
13	0.1217276015
14	0.1162376131
15	0.1123393369
16	0.1087306734
17	0.1028420177
18	0.09918261708
19	0.09648588472
20	0.09437491979
21	0.09134415014
22	0.08859805713
23	0.08589084105
24	0.0839937843
25	0.08222112892
26	0.08014919383
27	0.07915989954
28	0.07800063395
29	0.07638937884
30	0.0740901613
31	0.0724984387
32	0.07076178611
33	0.0699565744
34	0.06897441417
35	0.06825704372
36	0.06703845244
37	0.06596297817
38	0.06497904352
39	0.06390477515
40	0.06302740473
41	0.06196864247
42	0.06070146656
43	0.06005795025
44	0.05938571597
45	0.05893668756
46	0.05804904917
47	0.05747637075
48	0.05695505041
49	0.0560854348
50	0.05560107847
51	0.05491982397
52	0.05426817899
53	0.05330255904
54	0.05264757049
55	0.05210774731
56	0.05113935605
57	0.05063576766
58	0.05013925758
59	0.04964966577
60	0.04921192548
61	0.04857605902
62	0.04819750245
63	0.04764835699
64	0.04725378897
65	0.04701315796
66	0.04638626999
67	0.04580598841
68	0.04544949695
69	0.04505810125
70	0.04458337709
71	0.04430902487
72	0.04376550656
73	0.04325192215
74	0.04256831859
75	0.0420388358
76	0.04167698537
77	0.04078950337
78	0.04050173905
79	0.04012069041
80	0.03993811011
81	0.03959680865
82	0.03922405491
83	0.03879512334
84	0.03856527148
85	0.03808190875
86	0.03787624466
87	0.03767534369
88	0.03739727587
89	0.03723867232
90	0.03706170347
91	0.03658929599
92	0.03637098364
93	0.03602635778
94	0.03574803102
95	0.03553904715
96	0.03531974782
97	0.03510403975
98	0.03478826761
99	0.03456799355
100	0.03444917432
101	0.03426669741
102	0.03406965037
103	0.03359743925
104	0.03357186751
105	0.03321084936
106	0.03295618814
107	0.03263509466
108	0.03243047192
109	0.03234108151
110	0.03203865357
111	0.0317040866
112	0.03140511626
113	0.03122018785
114	0.03086386187
115	0.03053315748
116	0.03027988257
117	0.03009606493
118	0.03000310887
119	0.02985887986
120	0.02972392249
121	0.02962733919
122	0.02935541192
123	0.02925487609
124	0.0290307041
125	0.02877158248
126	0.02842870203
127	0.02817154354
128	0.02798428103
129	0.02775276294
130	0.02736759464
131	0.02728365569
132	0.02696380762
133	0.02677027357
134	0.02664202841
135	0.02653061156
136	0.02632456966
137	0.02618674502
138	0.02605804732
139	0.02585454116
140	0.02573805622
141	0.02555319733
142	0.02536239234
143	0.02510475629
144	0.02482980878
145	0.02471240638
146	0.02461969965
147	0.02443769283
148	0.02420053666
149	0.02396082248
